"uso","discipline","frequency","responses","percentage"
"Administration","Language-related","Lo he hecho",10,0.294117647058824
"Administration","Language-related","Me gustaría hacerlo",9,0.264705882352941
"Administration","Language-related","No me parece útil",15,0.441176470588235
"Administration","Other","Lo he hecho",7,0.127272727272727
"Administration","Other","Me gustaría hacerlo",19,0.345454545454545
"Administration","Other","No me parece útil",29,0.527272727272727
"Administration","IT","Lo he hecho",21,0.313432835820896
"Administration","IT","Me gustaría hacerlo",23,0.343283582089552
"Administration","IT","No me parece útil",23,0.343283582089552
"Bureaucracy","Language-related","Lo he hecho",2,0.0588235294117647
"Bureaucracy","Language-related","Me gustaría hacerlo",11,0.323529411764706
"Bureaucracy","Language-related","No me parece útil",21,0.617647058823529
"Bureaucracy","Other","Lo he hecho",12,0.218181818181818
"Bureaucracy","Other","Me gustaría hacerlo",18,0.327272727272727
"Bureaucracy","Other","No me parece útil",25,0.454545454545455
"Bureaucracy","IT","Lo he hecho",16,0.238805970149254
"Bureaucracy","IT","Me gustaría hacerlo",28,0.417910447761194
"Bureaucracy","IT","No me parece útil",23,0.343283582089552
"Calendar","Language-related","Lo he hecho",2,0.0588235294117647
"Calendar","Language-related","Me gustaría hacerlo",14,0.411764705882353
"Calendar","Language-related","No me parece útil",18,0.529411764705882
"Calendar","Other","Lo he hecho",5,0.0909090909090909
"Calendar","Other","Me gustaría hacerlo",16,0.290909090909091
"Calendar","Other","No me parece útil",34,0.618181818181818
"Calendar","IT","Lo he hecho",5,0.0746268656716418
"Calendar","IT","Me gustaría hacerlo",20,0.298507462686567
"Calendar","IT","No me parece útil",42,0.626865671641791
"Interaction w/ teachers","Language-related","Lo he hecho",6,0.176470588235294
"Interaction w/ teachers","Language-related","Me gustaría hacerlo",2,0.0588235294117647
"Interaction w/ teachers","Language-related","No me parece útil",26,0.764705882352941
"Interaction w/ teachers","Other","Lo he hecho",6,0.109090909090909
"Interaction w/ teachers","Other","Me gustaría hacerlo",10,0.181818181818182
"Interaction w/ teachers","Other","No me parece útil",39,0.709090909090909
"Interaction w/ teachers","IT","Lo he hecho",11,0.164179104477612
"Interaction w/ teachers","IT","Me gustaría hacerlo",16,0.238805970149254
"Interaction w/ teachers","IT","No me parece útil",40,0.597014925373134
"Help with feedback","Language-related","Lo he hecho",18,0.529411764705882
"Help with feedback","Language-related","Me gustaría hacerlo",11,0.323529411764706
"Help with feedback","Language-related","No me parece útil",5,0.147058823529412
"Help with feedback","Other","Lo he hecho",27,0.490909090909091
"Help with feedback","Other","Me gustaría hacerlo",17,0.309090909090909
"Help with feedback","Other","No me parece útil",11,0.2
"Help with feedback","IT","Lo he hecho",51,0.761194029850746
"Help with feedback","IT","Me gustaría hacerlo",11,0.164179104477612
"Help with feedback","IT","No me parece útil",5,0.0746268656716418
